Country Name,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Gabon,..,..,..,0.01,0.05,0.11,0.12,0.13,0.14,0.24,0.25,0.27,0.29,0.49,0.57,0.57,0.75,0.71,0.99,1.12,2.00
"Gambia, The",..,..,..,..,0.00,0.00,..,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.14,0.17,0.17,0.18,0.19,0.21,0.21
Georgia,..,0.01,0.02,0.03,0.04,0.06,0.64,1.12,2.71,3.64,4.45,6.09,11.39,12.77,14.89,15.80,16.96,19.36,21.42,23.45,24.37
Germany,0.33,2.58,3.93,5.48,8.57,13.22,18.38,24.30,28.01,30.86,32.37,33.71,34.53,35.28,36.31,37.55,38.76,40.20,41.09,42.14,43.22
Ghana,..,..,..,..,0.00,0.01,0.06,0.07,0.10,0.12,0.21,0.26,0.26,0.26,0.26,0.26,0.30,0.20,0.21,0.19,0.25
Gibraltar,..,..,..,..,..,..,..,..,..,27.70,31.06,33.57,35.60,..,38.55,46.17,48.62,51.51,56.29,57.85,62.36
Greece,..,..,..,0.09,0.46,1.43,4.36,9.15,13.65,17.49,20.69,22.76,24.95,27.12,29.49,32.26,34.06,35.75,37.65,39.25,40.84
Greenland,..,..,..,0.21,5.84,12.52,16.18,18.53,21.13,22.11,21.88,21.03,20.15,19.14,18.45,17.74,..,21.27,23.32,25.42,27.57
Grenada,..,..,0.54,..,0.58,3.08,5.28,7.23,8.49,11.69,13.59,13.74,14.89,16.64,17.27,18.03,18.88,20.05,24.21,28.38,28.44
Guam,..,1.12,..,..,..,..,..,1.70,1.70,1.88,1.88,..,..,1.87,1.86,..,..,..,..,1.79,1.78
Guatemala,..,..,..,..,..,0.21,0.29,0.42,0.67,1.09,1.77,..,1.84,2.26,2.72,2.83,3.05,3.14,..,3.33,3.42
Guinea,..,..,..,..,..,..,..,..,..,..,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Guinea-Bissau,..,..,..,..,..,..,..,..,..,..,0.05,0.06,0.07,0.09,0.08,0.06,0.05,0.05,0.06,0.06,0.12
Guyana,..,..,..,..,..,0.27,..,0.32,0.68,0.91,1.49,2.73,3.97,4.86,5.92,7.00,7.42,8.37,..,10.60,12.08
Haiti,..,..,..,..,..,..,..,..,..,..,..,..,0.00,0.00,0.00,0.01,0.01,0.27,0.28,0.28,0.27
Honduras,..,..,..,..,..,..,..,..,..,..,0.01,0.68,0.71,0.78,1.76,2.17,2.38,2.53,3.70,4.01,4.01
