Country Name,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
San Marino,..,..,..,2.10,3.72,4.16,4.98,5.32,16.10,17.67,19.19,20.65,30.84,31.43,35.51,34.99,35.82,31.18,32.14,32.73,32.42
Sao Tome and Principe,..,..,..,..,..,..,0.08,0.19,0.20,0.25,0.32,0.40,0.41,0.51,0.56,0.66,0.70,0.71,0.74,0.76,1.15
Saudi Arabia,..,0.07,0.16,0.20,0.30,0.28,0.89,2.47,4.05,5.40,6.24,6.90,8.71,..,..,19.97,19.72,20.10,20.24,19.85,22.66
Senegal,..,..,0.01,0.02,0.07,0.16,0.25,0.33,0.39,0.48,0.62,0.71,0.71,0.77,0.73,0.69,0.66,0.73,0.82,0.93,0.92
Serbia,..,..,..,..,..,0.45,1.64,4.40,6.21,8.06,11.80,13.44,14.81,16.42,16.74,18.66,20.61,21.15,22.29,23.44,25.18
Seychelles,..,..,..,..,0.40,1.07,2.76,3.88,3.78,5.02,7.44,10.24,11.42,13.29,12.55,14.13,14.66,15.79,20.28,27.60,35.55
Sierra Leone,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Singapore,1.71,3.70,6.58,10.10,13.05,15.38,17.90,20.22,22.43,24.84,26.08,26.75,26.68,27.38,26.68,26.58,28.16,25.85,25.94,25.91,25.81
Sint Maarten (Dutch part),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Slovak Republic,..,..,0.08,0.42,1.46,3.36,5.64,10.13,11.20,14.35,16.23,17.62,19.31,20.46,21.94,23.43,24.56,25.80,27.65,29.15,31.17
Slovenia,..,0.28,2.85,2.92,5.78,9.86,13.97,17.13,21.02,22.08,23.03,24.10,24.75,25.43,26.88,27.47,28.41,28.98,29.49,30.21,31.34
Solomon Islands,..,..,..,..,0.04,0.10,0.14,0.20,0.30,0.39,0.48,0.45,0.38,0.33,0.23,0.24,0.26,0.18,0.23,0.16,0.15
Somalia,..,..,..,..,..,..,..,..,..,..,..,..,0.31,0.46,0.52,0.59,0.65,0.67,..,0.63,0.75
South Africa,..,..,0.01,0.04,0.13,0.35,0.69,0.77,0.86,0.95,1.45,1.74,2.10,3.01,3.13,2.54,2.05,1.97,1.92,2.14,2.20
South Sudan,..,..,..,..,..,..,..,..,..,..,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,..
Spain,0.19,1.13,2.98,4.98,7.85,11.44,15.07,17.73,19.83,21.04,22.70,23.72,24.49,26.11,27.80,29.02,30.26,31.44,32.50,33.41,34.62
Sri Lanka,..,0.00,0.00,0.02,0.11,0.11,0.12,0.32,0.51,0.84,1.13,1.76,1.72,2.05,2.73,2.99,4.24,5.78,7.27,7.81,8.32
St. Kitts and Nevis,..,..,1.11,4.37,9.50,13.87,18.59,20.09,23.04,26.75,29.79,25.48,26.06,26.43,27.61,31.98,27.46,56.24,31.24,38.58,56.39
St. Lucia,..,..,..,0.87,2.35,4.28,4.34,6.61,9.13,10.79,11.77,12.16,13.91,13.92,15.82,15.87,16.55,17.59,17.74,8.64,17.97
St. Martin (French part),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
St. Vincent and the Grenadines,..,0.08,1.00,1.06,1.22,3.36,5.17,7.35,8.64,10.63,11.55,12.23,12.56,13.44,13.52,15.54,19.98,17.55,22.33,19.64,22.29
Sudan,..,..,..,..,0.00,0.00,0.01,0.10,0.11,..,0.04,0.05,0.07,0.07,0.05,0.07,0.07,0.07,0.08,0.08,0.07
Suriname,..,..,0.02,0.04,0.09,0.22,0.53,0.82,1.11,1.73,2.86,4.33,5.41,6.78,8.39,9.42,12.61,12.48,12.70,13.83,15.73
Sweden,2.80,6.60,9.42,12.23,15.68,27.90,27.36,30.34,31.43,31.62,31.94,31.98,32.20,32.73,33.86,35.80,37.41,38.92,39.53,40.24,41.38
Switzerland,0.79,1.95,6.30,10.78,16.76,22.60,27.49,31.59,33.53,35.54,37.31,38.93,40.11,42.40,43.09,44.60,45.06,46.32,45.56,46.82,46.54
Syrian Arab Republic,..,..,..,..,0.00,0.01,0.03,0.03,0.05,0.16,0.33,0.58,1.18,1.77,2.68,4.05,5.78,8.32,7.84,8.73,8.85
Tajikistan,..,..,..,0.00,..,..,..,0.05,0.05,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,..,0.06,0.06
Tanzania,..,..,..,..,..,0.01,0.01,0.01,0.02,0.02,0.02,0.06,0.09,0.12,0.17,0.21,0.60,1.40,1.53,1.79,1.90
Thailand,..,0.00,..,0.02,0.25,0.85,1.36,1.95,3.12,3.92,4.84,5.77,6.66,7.62,7.95,9.07,10.47,11.86,13.24,14.52,16.44
Timor-Leste,..,..,..,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.05,0.05,0.05,0.06,0.09,0.09,0.05,0.05,0.00,0.01,0.01
Togo,..,..,..,..,..,..,..,0.02,0.03,0.07,0.42,0.52,0.61,0.10,0.18,0.90,0.65,0.66,0.33,0.39,0.64
Tonga,..,..,0.01,0.02,0.33,0.64,0.62,0.76,0.70,0.96,1.06,1.26,1.46,1.67,1.78,2.44,2.97,2.94,2.44,3.54,4.73
Trinidad and Tobago,..,..,0.01,0.07,0.33,0.83,1.58,2.71,6.50,9.85,12.26,12.90,14.98,15.70,18.21,20.33,18.55,23.61,24.62,24.33,26.92
Tunisia,..,..,0.00,0.00,0.03,0.17,0.43,0.93,2.18,3.54,4.53,5.21,4.86,4.75,5.13,5.13,5.66,7.01,8.77,10.18,11.29
Turkey,..,0.02,0.03,0.30,0.86,2.34,4.03,6.83,8.18,9.04,9.81,10.34,10.54,11.71,11.48,12.10,13.15,14.70,16.28,17.06,19.84
Turkmenistan,..,..,..,..,..,..,..,..,0.00,0.01,0.01,0.02,0.03,0.03,0.04,0.05,0.07,0.09,..,0.13,0.17
Turks and Caicos Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Tuvalu,..,..,..,..,0.51,1.50,2.47,2.64,2.81,0.96,2.28,4.23,4.19,4.14,4.10,4.05,4.01,3.96,..,..,..
Uganda,..,..,..,..,..,0.00,0.00,0.01,0.02,0.02,0.04,0.11,0.11,0.12,0.15,0.21,0.23,..,..,0.07,0.13
Ukraine,..,..,..,..,..,0.28,1.12,1.72,3.46,4.15,6.45,6.96,8.04,8.86,9.31,11.64,12.03,12.35,12.80,16.16,18.62
United Arab Emirates,0.06,0.25,0.48,0.82,1.38,2.82,4.54,6.16,7.86,8.72,9.20,9.69,10.45,11.33,11.85,13.33,13.86,29.11,31.40,31.17,32.81
United Kingdom,0.09,0.56,2.29,5.23,10.23,16.42,21.40,25.39,27.85,28.45,30.18,32.16,33.61,35.45,36.27,37.45,38.42,39.03,39.60,39.79,40.26
United States,2.51,4.49,6.92,9.57,12.78,17.34,20.23,23.85,25.41,26.11,27.35,28.34,29.46,30.35,30.69,31.85,32.73,33.28,33.86,34.73,36.61
Uruguay,..,..,..,..,0.81,1.46,3.21,4.95,7.32,9.48,11.42,14.04,17.18,21.75,24.71,26.40,26.92,27.74,28.34,29.25,30.62
Uzbekistan,..,..,..,0.01,0.02,0.03,0.03,0.07,0.24,0.32,0.41,0.51,0.75,1.02,2.70,5.78,8.73,10.39,12.70,13.94,14.40
Vanuatu,..,..,..,0.01,0.01,0.03,0.04,0.06,0.09,0.22,0.21,0.14,0.12,0.12,1.73,1.58,1.58,..,..,2.63,0.91
"Venezuela, RB",0.02,0.15,0.31,0.46,0.81,1.35,2.00,3.15,4.04,5.00,5.88,6.29,6.94,7.50,7.99,8.61,8.76,8.87,9.02,8.98,9.01
Vietnam,..,..,0.00,0.01,0.06,0.25,0.61,1.52,2.38,3.69,4.17,4.32,5.32,5.68,6.54,8.26,9.72,11.91,13.60,15.35,17.16
Virgin Islands (U.S.),..,..,..,..,1.37,2.75,..,5.54,6.95,8.46,8.58,..,..,8.64,8.66,8.57,..,..,..,..,..
West Bank and Gaza,..,..,..,..,0.00,0.21,0.74,1.48,..,..,..,3.76,4.39,4.92,5.31,6.06,6.92,7.58,7.49,7.32,7.39
"Yemen, Rep.",..,..,..,..,..,0.01,0.01,0.05,0.12,0.24,0.36,0.46,0.68,1.02,1.32,1.49,1.02,1.33,1.36,1.31,1.31
Zambia,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.04,0.08,0.08,0.12,0.10,0.09,0.13,0.15,0.19,0.21,0.42,0.50,0.45
Zimbabwe,..,0.01,0.02,0.05,0.07,0.08,0.08,0.12,0.15,0.38,0.26,0.26,0.55,0.78,1.12,1.19,1.22,1.32,1.41,1.40,1.37
